3,4
3,99
4,99
5,6
5,91
6,91
2,7
2,1
7,8
8,9
8,15
8,32
9,10
9,11
9,12
12,13
12,14
15,16
15,35
15,38
16,17
16,25
16,44
17,18
17,19
17,20
17,26
21,22
21,23
21,24
21,44
25,47
25,48
26,27
26,30
27,28
27,49
27,52
28,29
30,31
32,33
32,34
35,36
35,37
38,39
38,40
38,41
41,42
41,43
44,45
44,46
49,50
50,51
51,59
51,60
51,61
52,53
52,54
52,55
52,56
52,110
54,102
55,105
56,57
56,109
57,58
57,108
57,59
60,103
61,106
62,63
62,75
62,76
62,102
62,105
63,64
63,65
63,66
63,100
65,68
66,67
69,70
69,87
69,86
71,72
71,86
71,85
73,74
73,90
76,77
76,78
77,79
77,78
79,80
79,103
79,107
79,106
80,81
80,82
80,83
80,84
80,85
87,88
88,89
88,104
88,90
90,91
92,93
92,94
92,95
92,104
95,96
95,97
95,98
95,100
98,99
100,101
